C,o,m,p,a,n,i,e,s
Teachers Pay Teachers,"Teacher Synergy is the operator of Teachers Pay Teachers, an online marketplace where teachers buy and sell original downloadable educational materials, hard goods and used educational resources.",eCommerce,United States,$64.12M,2006,05/20/2014,Growth Equity,$64.12M
Binary Fountain,"Binary Fountain provides a customer experience and online reputation management platform for enterprises, healthcare organizations and small and medium-sized businesses. Anchored in its Natural Language Processing (NLP) technology, the cloud-based platform mines customer and employee feedback from surveys, online ratings and review sites, social media and other data sources to equip organizations with insights needed to improve brand loyalty, increase engagement, attract new customers and drive sustainable bottom-line results.On October 13, 2020 Press Ganey acquired a majority stake in Binary Fountain. The terms of the transaction were not disclosed.",Internet Software & Services,United States,$89.74M,2014,07/13/2018,Unattributed,$64.04M
Ensim,"Ensim, founded in 1998, is a provider of solutions to automate on-boarding, orchestration, provisioning, and management, of users and organizations with business applications, services, and infrastructure in private, public, and hybrid clouds. The company has over 5,000,000 seats deployed worldwide and is used by over 20,000 small, medium, and large sized organizations and government agencies through service providers, system integrators, msp's, and resellers. Ensim provides an end-to-end platform for marketplace, storefront, subscription management, service catalog, ticketing, provisioning, usage collection, rating, recurring billing, taxation, invoicing, and payments with self-service portals for users, organization admins, and channel partners.",Internet Software & Services,United States,$92.26M,1998,01/17/2001,Unattributed VC,$64.00M
BigCommerce,"BigCommerce (NASDAQ:BIGC) helps fast-growing brands sell more. The BigCommerce platform provides small- and medium-sized retailers with everything they need to launch, promote, manage and scale a successful online store, complete with beautiful responsive themes, order processing, analytics, mobile commerce and marketing tools.",eCommerce,United States,$228.45M,2009,04/25/2018,Series F,$64.00M
Nanotech Energy,"Nanotech Energy was formed to move research on graphene supercapacitors from the laboratory to the marketplace. Under a licensing agreement with UCLA, Nanotech is scaling up production of Laser Scribed Graphene (LSG) supercapacitors and micro-supercapacitors for real world applications. Nanotech Energy's goals are to allow recharging of devices to be measured in seconds instead of hours, to recapture lost energy on a large scale, from wind, solar and wave systems, to produce a product that doesn't leak or degrade with time and to have a significant social impact and create stakeholder value.",Electrical Product Distribution,United States,$94.91M,2015,08/10/2021,Series D,$64.00M
Neusoft Xikang Healthcare Technology,"Neusoft Xikang Healthcare Technology (东软熙康健康科技) is a healthcare management platform built upon Internet-based integrative healthcare monitoring equipment, designed to provide professional healthcare management & services for individuals, families and communities. This is done by connecting healthcare services provided by regional medical centers/community health service institutions and individual/family dynamic healthcare management with data archiving systems of health monitoring and management institutions. Xikang not only makes premium medical resources available by offering real-time, convenient services to communities, families and individuals who pursue high-quality life, but also helps establish a scientific and systemic networking management platform for hospitals and heal...",IT Services,China,$234.00M,,08/02/2016,Series B,$64.00M
Prime Trust,Prime Trust is a blockchain driven trust company that provides solutions to custody cryptocurrency while also providing various compliance solutions including the full stack of private exemptions in the US.,Internet Software & Services,United States,$69.47M,2016,07/28/2021,Series A,$64.00M
Chayora,"Chayora develops hyperscale data centers and data center campuses to enable cloud services, ICT services, financial services or other services offerings dependent on intensive, high-quality data center infrastructure in China.",IT Services,Hong Kong,$137.00M,2011,10/09/2019,Series C,$64.00M
SheerID,"SheerID provides a platform for users to reach out to consumer groups, verifying identification and offering discounts. SheerID's automated pre-purchase solution acts as a bridge between websites, POS systems, mobile apps, and/or internal customer service sales systems and any database. As that bridge, SheerID verifies if a customer qualifies for discounts or special offers.",Internet Software & Services,United States,$95.30M,2010,11/13/2019,Series C,$64.00M
LocusView,LocusView provides utilities with a digital construction management platform to help companies manage infrastructure capital projects from planning to revenue.,Internet Software & Services,Israel,$64.00M,2014,04/28/2021,Series A,$64.00M
Just Eat,"Just Eat allows consumers to order, compare prices, and find offers from their local independent takeaway restaurants, all via a single online portal. Just Eat gives high street restaurants an online presence, the technology to process online orders, and access to Just Eat's loyal customer base. This enables independent restaurants to effectively compete with larger franchise chains online and establish an additional, lucrative revenue stream.On February 3rd, 2020, Just Eat was acquired by Takeaway.com at a valuation of $8.3B.",eCommerce,United Kingdom,$129.40M,2001,04/30/2012,Series C,$64.00M
