Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
VIPStore,"VIPStore is an online retailer of global luxury brands in China. The company provides various offers throughout various aspects of luxury life, including dresses, shoes, bags, watches, cosmetics, foods, and luxury tourism.",eCommerce,China,$45.00M,,05/24/2012,Series E,$15.00M
AiFi,"AiFi is an AI technology company automating the world’s stores for retailers and brands of all sizes, from small footprint pop-up stores to supermarkets. With its Autonomous Store Platform OASIS, AiFi is creating delightful shopping experiences with some of the most influential retail partners in the world including Carrefour, Albert Heijn, and Żabka.",Specialty Computer Hardware,United States,$30.68M,2016,10/19/2020,Series B,$15.00M
GreenBox,Greenbox is an online kid clothing retailer.,eCommerce,China,$15.00M,,12/26/2010,Series B,$15.00M
0x,0x is an open protocol that enables the peer-to-peer exchange of assets on the Ethereum blockchain.,Internet Software & Services,United States,$15.01M,2016,02/05/2021,Series A,$15.00M
Walnut,"Walnut offers a no-code, customizable platform that aims to help sales departments with demo experiences.",Internet Software & Services,United States,$22.00M,2020,08/31/2021,Series A,$15.00M
Dajialai,"Dajialai (大家来) is a Shanghai-based intelligent catering management solution provider. Its system can manage ordering, payment, membership, inventories and invoices for medium and large or chain restaurants.",Internet Software & Services,China,$15.00M,,10/20/2017,Series A,$15.00M
Shop-Ware,"Shop-Ware delivers professional-grade innovation to independent automotive service providers via an enterprise-grade SaaS platform for shop management. Features include fully digital, cloud-based repair orders with native vehicle inspections, rich media, and customer live chat; real-time shop workflow and “expeditor” dispatch; native parts allocation and tracking for each job in progress; parts gross-profit “optimizer” that automatically seeks and attains a parts GP target; advanced analytics across unlimited repair facilities, etc.",Internet Software & Services,United States,$15.00M,2013,12/03/2020,Series A,$15.00M
Love & Live,"Love & Live is an online marketplace for clothes, shoes, accessories of Ukrainian brands.",eCommerce,Ukraine,$15.00M,,12/04/2020,Angel,$15.00M
Adumo,"Adumo operates as a payments processor based in Bryanston, South Africa.",Internet Software & Services,South Africa,$15.00M,,03/09/2021,Unattributed,$15.00M
@Outcome,"@Outcome provides software solutions that helps streamline communications, information gathering and process automation for the healthcare industry.",Internet Software & Services,United States,$23.23M,1997,04/01/1999,Series C,$15.00M
Luminary Cloud,Luminary Cloud is a technology startup focused on innovations in high-performance computing for industrial R and D.,Stealth Mode,United States,$15.00M,2019,12/22/2020,Series A,$15.00M
Hometalk,"Hometalk is a DIY Home & Garden community. Homeowners, bloggers and professionals use Hometalk to share their DIY projects, ask questions and become inspired - all in consonance with Hometalk's mission of enabling people to improve their living spaces through DIY. Topics on the site include home makeovers, repairs, cleaning, storage, decorating, crafts, gardening, and more.",Internet Software & Services,United States,$15.00M,2011,07/05/2018,Series A,$15.00M
Manifold,"Manifold provides a platform that allows developers to find, buy, and manage their favorite services – from email to logging – without being locked into a single cloud platform, streamlining the purchasing and management process, so they can focus on building their apps.On January 26th, 2021, Manifold was acquired by Snyk. The terms of the transaction were not disclosed.",Internet Software & Services,Canada,$17.00M,2016,09/21/2017,Series A,$15.00M
Fountain Life,"Fountain Life provides a fully integrated platform delivering predictive, preventative, personalized, and data-driven health.",Healthcare Software,United States,$17.14M,2020,08/25/2021,Series A,$15.00M
Maze,Maze performs quantitative user-testing at the design phase to provide designers with actionable KPIs.,Internet Software & Services,United Kingdom,$17.47M,2018,02/25/2021,Series A - II,$15.00M
BlueOcean,BlueOcean offers a Brand Strategy as a Service platform.,"Advertising, Sales & Marketing",United States,$20.00M,2019,07/21/2021,Series A,$15.00M
Talkiatry,Talkiatry provides a psychiatry and mental health solution through an online platform.,Internet Software & Services,United States,$20.00M,2019,07/28/2021,Series A - II,$15.00M
SeedFi,"SeedFi is a financial health company that helps users build credit, save money, access funds, and plan for the future.",Internet Software & Services,United States,$69.00M,2019,02/17/2021,Series A,$15.00M
Facelift,"Facelift develops social media marketing software for enterprises. Its core product, Facelift Cloud, is an all-in-one solution that consists of the nine modules: Dashboard, Moderation, Publishing, Advertising, Engagement, Trendwatch, Monitoring, Social CRM, and Benchmarking, enabling the management of all activities on Facebook, Twitter, Instagram, YouTube, WordPress, Pinterest, Xing, and LinkedIn centrally and efficiently. All practical matters such as workflow management, templating, data exchange, content pooling, roles/permissions management, and documentation are integrated in Facelift's scalable cloud solution.",Internet Software & Services,Germany,$15.00M,2011,02/20/2014,Series A,$15.00M
Roadster,"Roadster operates a new car buying solution that features tools for consumers to explore, compare and look for their car among hundreds of thousands of vehicles and instantly see available inventory and a concierge team that handles everything from obtaining the best price through delivery of the car to their home or office.On June 2nd, 2021, Roadster was acquired by CDK Global for $360 million.",eCommerce,United States,$24.00M,2013,06/27/2018,Series B,$15.00M
TruckLabs,"TruckLabs is a trucking technology company with a mission to transform the industry through combining a first-hand understanding of trucking with technology. It builds connected devices and uses modern data science techniques that are widely deployed to derive key insights into opportunities for innovation. It is based in Redwood City, California.",IT Services,United States,$15.00M,2014,10/06/2021,Series A,$15.00M
RateGain,"RateGain provides SaaS-based hospitality and travel technology solutions including revenue management and distribution channel management software, and real-time pricing data and analytics, to allow businesses to streamline operations and sales. In the travel segment, the company serves suppliers and intermediaries, including airlines, cruise lines, car rental providers, online travel agents, tour operators and wholesalers. In the hospitality segment, RateGain serves the hotel industry, providing solutions to aid in optimizing pricing, ensuring rate parity, managing rates and inventory across booking channels, and tracking and managing online reputations. The company serves more than 5,500 clients around the world, including approximately 3,000 individual hotel properties. It has ad...",Internet Software & Services,India,$65.00M,2004,08/17/2020,Unattributed VC,$15.00M
